,LHS,RHS,support,confidence,coverage,lift,count
904,{IRON OXIDE},{POLYVINYL ALCOHOL},0.19,0.31,0.61,1.22,77
905,{POLYVINYL ALCOHOL},{POLYETHYLENE GLYCOL},0.23,0.89,0.25,1.36,93
906,{POLYETHYLENE GLYCOL},{POLYVINYL ALCOHOL},0.23,0.34,0.66,1.36,93
907,{POLYVINYL ALCOHOL},{MICROCRYSTALLINE CELLULOSE},0.2,0.81,0.25,1.04,84
908,{MICROCRYSTALLINE CELLULOSE},{POLYVINYL ALCOHOL},0.2,0.26,0.78,1.04,84
909,{POLYVINYL ALCOHOL},{MAGNESIUM STEARATE},0.22,0.88,0.25,1.02,92
910,{MAGNESIUM STEARATE},{POLYVINYL ALCOHOL},0.22,0.26,0.86,1.02,92
911,{POLYVINYL ALCOHOL},{TITANIUM DIOXIDE},0.25,0.99,0.25,1.18,103
912,{TITANIUM DIOXIDE},{POLYVINYL ALCOHOL},0.25,0.3,0.84,1.18,103
913,{POVIDONE},{CROSCARMELLOSE SODIUM},0.13,0.43,0.3,0.97,53
914,{CROSCARMELLOSE SODIUM},{POVIDONE},0.13,0.29,0.44,0.97,53
915,{POVIDONE},"{SILICON DIOXIDE, ANHYDROUS}",0.13,0.43,0.3,0.98,53
916,"{SILICON DIOXIDE, ANHYDROUS}",{POVIDONE},0.13,0.29,0.44,0.98,53
917,{POVIDONE},{LACTOSE MONOHYDRATE},0.14,0.47,0.3,1.04,58
918,{LACTOSE MONOHYDRATE},{POVIDONE},0.14,0.31,0.45,1.04,58
919,{POVIDONE},{TALC},0.15,0.49,0.3,0.92,60
920,{TALC},{POVIDONE},0.15,0.27,0.53,0.92,60
921,{POVIDONE},{HYPROMELLOSE},0.16,0.54,0.3,0.96,66
922,{HYPROMELLOSE},{POVIDONE},0.16,0.29,0.56,0.96,66
923,{POVIDONE},{IRON OXIDE},0.18,0.59,0.3,0.96,72
924,{IRON OXIDE},{POVIDONE},0.18,0.29,0.61,0.96,72
925,{POVIDONE},{POLYETHYLENE GLYCOL},0.19,0.64,0.3,0.98,79
926,{POLYETHYLENE GLYCOL},{POVIDONE},0.19,0.29,0.66,0.98,79
927,{POVIDONE},{MICROCRYSTALLINE CELLULOSE},0.23,0.76,0.3,0.98,94
928,{MICROCRYSTALLINE CELLULOSE},{POVIDONE},0.23,0.29,0.78,0.98,94
929,{POVIDONE},{MAGNESIUM STEARATE},0.28,0.93,0.3,1.07,114
930,{MAGNESIUM STEARATE},{POVIDONE},0.28,0.32,0.86,1.07,114
931,{POVIDONE},{TITANIUM DIOXIDE},0.24,0.8,0.3,0.95,98
932,{TITANIUM DIOXIDE},{POVIDONE},0.24,0.28,0.84,0.95,98
933,{CROSCARMELLOSE SODIUM},"{SILICON DIOXIDE, ANHYDROUS}",0.19,0.43,0.44,0.98,78
934,"{SILICON DIOXIDE, ANHYDROUS}",{CROSCARMELLOSE SODIUM},0.19,0.43,0.44,0.98,78
935,{CROSCARMELLOSE SODIUM},{LACTOSE MONOHYDRATE},0.22,0.49,0.44,1.08,89
936,{LACTOSE MONOHYDRATE},{CROSCARMELLOSE SODIUM},0.22,0.48,0.45,1.08,89
937,{CROSCARMELLOSE SODIUM},{TALC},0.26,0.58,0.44,1.09,106
938,{TALC},{CROSCARMELLOSE SODIUM},0.26,0.48,0.53,1.09,106
939,{CROSCARMELLOSE SODIUM},{HYPROMELLOSE},0.23,0.52,0.44,0.93,94
940,{HYPROMELLOSE},{CROSCARMELLOSE SODIUM},0.23,0.41,0.56,0.93,94
941,{CROSCARMELLOSE SODIUM},{IRON OXIDE},0.29,0.65,0.44,1.07,119
942,{IRON OXIDE},{CROSCARMELLOSE SODIUM},0.29,0.48,0.61,1.07,119
943,{CROSCARMELLOSE SODIUM},{POLYETHYLENE GLYCOL},0.29,0.66,0.44,1.0,120
944,{POLYETHYLENE GLYCOL},{CROSCARMELLOSE SODIUM},0.29,0.44,0.66,1.0,120
945,{CROSCARMELLOSE SODIUM},{MICROCRYSTALLINE CELLULOSE},0.38,0.87,0.44,1.12,158
946,{MICROCRYSTALLINE CELLULOSE},{CROSCARMELLOSE SODIUM},0.38,0.49,0.78,1.12,158
947,{CROSCARMELLOSE SODIUM},{MAGNESIUM STEARATE},0.41,0.93,0.44,1.08,169
948,{MAGNESIUM STEARATE},{CROSCARMELLOSE SODIUM},0.41,0.48,0.86,1.08,169
949,{CROSCARMELLOSE SODIUM},{TITANIUM DIOXIDE},0.39,0.88,0.44,1.05,161
950,{TITANIUM DIOXIDE},{CROSCARMELLOSE SODIUM},0.39,0.47,0.84,1.05,161
